# dim1,dim2
7.756035915455742336e-01,7.372206743977087751e-01
5.026874619213450579e-01,2.257672819292927402e-01
2.359891403317425640e-01,9.722533736922166492e-01
4.078814964470452858e-02,2.115530785850433515e-04
6.475228943587452157e-01,2.969128538415378715e-01
4.788553611969346285e-02,1.331373219695762278e-01
3.321444091396554832e-01,7.729622578767804397e-02
8.506037584320427225e-01,4.511476804624361958e-01
7.259196974009058945e-01,7.086925054591424189e-01
5.917501526413887492e-01,4.584962288080025039e-01
5.505096237433423356e-01,3.680619600906472333e-01
8.522977378004761295e-01,6.648852520843131497e-01
3.345307578161296203e-01,3.466720472697454869e-01
6.914584824973643018e-01,6.291089151787656597e-01
3.260395904302025860e-01,3.130079949914871262e-01
1.798909993700174015e-01,5.072589297386851381e-01
3.599152988968396527e-01,4.916768585390713930e-01
3.785808434297987524e-01,7.771518329958133631e-01
6.781655798835158067e-02,3.815276090348073551e-02
7.020399456408915606e-01,7.746573257329585349e-01
2.244318381033171272e-01,3.984798528572029430e-01
3.248551737000826556e-01,6.200400995572749041e-01
1.181079510928838006e-01,3.638143076245591717e-02
9.188439655683848795e-01,9.469126934887751590e-01
3.467015336895094002e-01,2.959419720224792938e-01
1.657031220201599098e-01,2.939037314440603454e-01
4.971919312185184570e-01,4.468359703420031748e-01
6.077615649476044712e-01,8.303615428460124903e-01
6.944384890843745273e-02,2.801052296035451694e-01
1.931441935726373460e-01,1.487897337776697970e-01
6.307307417651634163e-01,5.145176772636059770e-01
7.371824337811425654e-01,6.089841245127538549e-01
9.208233875031820448e-01,8.365750271912197888e-01
6.059278803314452899e-01,7.421855654840610050e-01
2.150517346498196369e-01,1.776549922029154183e-01
2.688550841337558062e-01,6.052643360458671573e-01
4.595995637779253309e-03,3.221241429222836128e-02
8.006951338869578993e-01,6.651084437611086697e-01
6.484251355560280983e-01,4.927425743936559854e-01
5.891371636096401909e-01,7.933168333014075646e-01
9.332786853310994779e-01,8.962891797291774321e-01
7.945265886230354901e-01,8.142094683378624520e-01
8.815788560540971375e-02,3.228170883821991355e-01
5.709594497705188232e-01,8.756899754763419752e-01
5.233710986165116541e-01,4.712409716525409187e-01
9.430117167069652639e-01,9.641048898031910896e-01
8.558558817058540269e-01,4.001572346816507642e-01
5.188886416618625208e-02,1.339834807237850756e-01
7.533173991899691502e-02,2.690472670289421053e-01
1.213722132603960446e-01,1.284736271172694511e-01
6.597063431287986113e-02,1.446798226867834214e-01
1.862869039528508575e-01,2.420147362242602851e-01
4.336927742018786835e-01,3.066869267125234555e-01
8.177606548882703219e-01,8.959929634140659793e-01
2.380831416381979926e-01,3.380884404443056379e-01
4.064557902172908355e-01,8.047205033864724966e-01
4.526246699016677755e-01,2.776485614288553561e-01
6.092243166096726892e-01,6.366456913806590734e-01
1.599785447100487423e-01,6.893741914948471328e-01
6.589498233940656036e-01,4.606509079953867714e-01
2.476681862642468590e-01,1.903026412491966579e-01
7.660217339946328030e-01,6.358210408841644679e-01
6.563218605382366011e-01,6.071937611521383005e-01
9.117168082228624959e-01,9.152788310743703581e-01
5.732148545683161123e-01,4.068436606672749534e-01
4.404893396544105055e-01,5.462591815902310133e-01
4.250613461316191666e-01,5.060180068874721160e-01
6.036381466955382802e-01,7.134426236324057369e-01
7.479107018220514380e-01,4.497966926088562967e-01
2.334158813393709675e-01,7.880204478423837866e-01
1.128271096539704699e-01,3.650885525458287262e-01
6.298317693308862486e-01,5.653801228149260005e-01
2.863128232304749110e-01,1.475090705368666821e-01
9.747017018997314874e-01,9.869914329342028836e-01
4.304741939619209368e-01,2.117300035964776450e-01
1.032667832301348287e-01,4.234311672701482898e-01
7.273230870334055354e-01,8.027641009655498427e-01
9.910348549828253972e-01,9.363477027188978896e-01
2.829596896623766747e-02,7.105108618356306693e-02
9.001808955122573286e-01,8.460767491600729162e-01
4.882994514023325516e-01,6.399246527589874667e-01
5.310023660829369385e-01,5.886589804590302011e-01
1.677900405682078988e-01,1.595134368040507233e-01
5.161653246548966179e-01,2.400509525706225888e-01
9.096449868351260681e-01,9.531632655121076159e-01
9.256167939806746459e-01,7.759553584408427351e-01
7.301450790829919768e-01,6.011498719543689750e-01
2.833849298551583407e-01,4.498032192717779654e-01
6.819853710874139718e-01,6.131681914639859343e-01
6.525939330686022499e-01,3.107093721041475076e-01
5.520363881049149546e-01,1.882962161260167133e-01
8.250449882527446377e-01,9.070899663189861961e-01
2.081933442560718328e-01,2.973075285262765100e-01
3.080735775529012122e-01,4.841775470849395968e-01
2.162663971234761173e-01,8.587779641055048874e-02
3.853517299401246210e-02,5.516003781132253203e-02
8.893792395177442175e-03,1.751822219433229327e-02
1.940603697665888583e-01,1.444403786382654209e-01
7.942354350902419702e-02,1.023462144865704970e-01
5.000329241294619457e-04,6.056283459461393390e-03
1.375226045027156015e-02,1.229588271361283791e-01
7.624453137449416218e-01,5.108347261203105560e-01
8.740289196610102618e-01,9.963390621746968101e-01
8.920441660418524377e-01,7.302335113498417130e-01
4.944126356988800541e-01,4.345880102622328711e-01
2.588890765797244864e-01,1.036627422651820729e-01
5.081505966655601725e-01,4.692179989402060492e-01
1.439260585455975905e-01,7.632894283085324416e-02
8.739026030553723734e-01,8.694929138271341174e-01
1.686493887426648852e-01,1.204122383923914574e-01
3.424525586344966954e-01,9.692948822880531612e-02
7.445211370630470116e-01,8.495344283140882080e-02
9.559020725803534235e-01,9.355622389592551658e-01
5.587562044532495831e-01,4.884434301853505245e-01
6.239909997501206229e-01,4.401641906888567046e-01
3.846454252012712072e-01,1.176807999043082975e-01
1.571972888848933159e-01,2.097474392345737293e-01
5.566567743822883330e-01,9.206206918466415257e-01
5.682944377407361802e-01,6.331905459318752927e-01
6.162933106577118680e-01,6.574603043173151695e-01
8.768193594982337524e-01,9.738016956732071794e-01
1.814503498984899044e-01,2.975375928950070303e-01
3.162481263612101218e-02,1.032579884347850641e-01
8.053161461229088047e-01,3.056963071130809340e-01
3.063851367880474075e-01,5.281888249700199545e-01
3.654072758859776560e-01,2.758997092488870151e-01
5.557263574439407217e-01,2.816247170197916372e-01
5.340048399254740952e-01,3.082724936318309572e-01
9.628095743191732447e-01,9.936162898247805630e-01
9.121694024794289035e-01,4.971440783046311429e-01
6.997312661733738892e-01,1.713570613862853698e-01
8.138656666623044211e-01,7.140596526407545497e-01
1.899646624380001425e-01,3.670361323980396717e-01
4.627309194700964246e-01,5.221108590457651522e-01
9.115923645698942313e-02,3.030299822513136121e-01
8.384960737568500910e-01,8.811909207112560427e-01
2.754309182497763908e-01,6.251466851587317297e-02
5.435298057662387716e-01,8.173157260829856385e-01
8.701818703711541314e-01,9.177743214977939212e-01
4.925153641011640326e-01,5.970947816311201750e-01
3.546931215819809635e-01,6.271971361601549333e-01
1.275172558767465603e-01,8.599235466162380437e-02
6.456891168718330576e-01,4.841477415292935738e-01
9.874335061334997832e-01,9.921295312493619845e-01
5.244160511497173438e-01,8.313931021574343383e-01
2.112322748283159204e-02,6.920239933542640665e-02
1.080105965021300185e-01,1.802539746488131603e-02
8.103707231137642353e-01,3.436679663458730993e-01
9.304248203275412576e-01,9.557856390077003050e-01
9.948756585325249091e-01,9.995326022200877736e-01
2.646941557468720507e-01,2.392722905872646799e-01
9.389745358713997847e-01,7.891620214300503200e-01
5.939283144971636563e-01,4.737706276020808849e-01
4.577939946317396980e-01,6.307005058399035580e-01
6.515078667769901299e-01,8.233142044536156945e-01
3.230897643151764420e-01,4.297552553701912414e-02
6.893748601019429323e-01,6.481529611539325053e-01
5.377679926350159567e-02,4.984113139454197233e-02
8.387894309834703632e-02,9.267579353020938271e-02
4.835859589169503869e-01,6.713203748229819023e-01
1.732117484456437428e-01,6.598130690936521159e-02
6.399667858465035719e-02,6.528192164593644986e-02
2.902744708725182310e-01,4.250103465803179575e-02
6.189836652883742296e-01,2.807607505002299164e-01
7.993338116779786784e-01,7.562925651313416875e-01
7.424388377249467874e-01,5.000607121873944516e-01
6.634793029131694775e-01,4.310804250877190436e-01
8.551503429394330391e-02,5.533790056276492036e-02
9.986334832846823772e-01,9.738527603823260437e-01
4.733385285158903111e-01,6.269911509595051946e-01
6.259028614203060448e-01,7.222965861809810262e-01
4.345768839168064335e-01,2.404182714311834390e-01
1.119052519599890161e-01,4.039134212969382187e-02
8.061623536129386425e-01,7.736922106918608932e-01
2.376233560503773212e-01,1.311025577347559312e-01
9.697787410648756046e-01,8.659798081769972677e-01
3.455167221825218293e-01,7.945599077587778281e-01
9.968196092344677739e-01,9.337740866728962974e-01
6.739905172141762435e-01,5.219567835405162226e-01
9.567617618271461177e-01,7.956898653708787128e-01
7.645412522372939390e-02,1.614783087148464746e-01
8.574914730324917356e-01,7.690365228601109271e-01
4.309108513940269197e-02,1.927236448941575531e-01
5.380307009327647272e-01,5.715495296903807532e-01
2.373681308359771192e-03,3.217804121567417741e-02
5.404015729555170511e-01,7.174557737471699559e-01
3.395672886095492116e-01,5.246952346570953329e-01
9.336472873127293903e-02,4.460789911876203995e-01
3.794033045980059471e-02,5.955572498793623160e-01
6.159619317043650844e-01,7.969696301937998495e-01
1.345496333582981707e-01,1.982789175979144392e-01
4.085228392270852105e-01,2.673116454140894716e-01
8.202199610857645595e-01,5.563657447029713987e-01
5.857479473165067008e-01,8.325676578969865016e-02
4.366138091461406190e-01,6.214310880016473693e-01
2.209854145968359052e-01,1.003790732179331568e-01
6.939919847905333672e-01,6.820705635407202649e-01
7.160138308361388981e-01,2.251723140353759089e-01
2.457461800489629256e-01,7.504079265577163760e-01
9.282392393997446201e-01,6.875565755214676500e-01
6.347564159402785400e-01,5.506394072875998580e-01
7.189896060725599336e-02,1.033790163576388532e-01
2.554104896135944713e-01,4.062886031319626889e-01
9.523275096463147404e-01,8.179978211619061135e-01
4.588085724506285601e-01,1.847042622216207852e-01
8.962522230041923832e-01,8.806080776345521777e-01
4.487784597335292003e-01,8.314492551853878144e-01
7.492076669998815053e-01,8.282608701563189957e-01
4.605484607305690981e-01,5.638767219654932106e-01
3.524831555256304760e-01,1.604718695074595636e-01
7.691614552241983205e-01,8.151320226825693460e-01
3.179750602441175911e-01,2.141724590919502069e-01
3.729595398659080185e-01,4.680144330180331380e-01
9.838118560738212670e-01,7.663679486954708686e-01
7.792099855199188241e-01,9.010689448434632265e-01
1.570125168726367246e-02,1.871866477824338237e-02
1.636431164763563206e-01,5.764810547974625887e-01
2.982820342788845558e-01,5.018677215828740712e-01
7.775757051849534474e-01,9.562814053821364624e-01
2.525330101908742630e-01,6.172670293471356207e-01
6.132418946099252866e-01,8.404278208566495767e-01
9.805165671789605186e-01,8.777768786107087440e-01
8.984340797399478218e-01,8.040273741408840991e-01
6.377907698063904895e-01,2.446157770469463144e-01
4.382688549213579754e-01,7.923629985867570724e-01
6.338002750456784851e-01,3.208536366494051384e-01
1.851279926978468410e-02,3.039124307828955374e-01
9.804155073258546960e-02,7.880767058824578175e-02
3.025613749326183655e-01,2.906273435333229793e-01
5.452107402236998634e-01,6.848398600511987899e-01
1.067825177422034866e-01,2.297231068377640351e-01
7.891817200447504010e-01,3.062978288890070289e-01
4.412923726086701720e-02,3.952472663586894391e-02
1.456065156384987458e-01,5.263104424843861873e-02
5.292117860348136693e-01,8.416510363415115048e-01
2.316742569988908262e-01,1.242753534757828349e-01
8.293210444915821711e-01,2.841145574560214881e-01
3.635128065092827487e-01,2.649280849880975008e-01
7.284929908739994353e-01,6.579245463946095107e-01
4.674437732862570249e-01,2.803081366294647991e-01
5.196284677302578370e-01,3.989880048523898881e-01
3.950631667175064643e-01,9.380755371486332317e-02
9.239096537660212993e-01,9.370630944057590783e-01
8.220813353047288219e-01,8.944996069578909914e-01
1.550089868867428056e-01,4.096293014709838087e-01
6.714951274189008279e-01,6.997470092241065975e-01
1.484703928947854745e-01,4.037345723229833760e-01
3.419671629286710757e-02,6.943041324518882396e-02
7.600352666337909513e-01,8.761530453504973170e-01
4.018563557189941959e-01,8.587671761205398768e-01
3.833910669470479426e-01,4.035484183734211472e-01
9.658060442225890885e-01,8.956991114306072088e-01
3.747664876418453916e-01,4.926849971628298741e-01
8.656693773532654346e-01,7.145345288798101713e-01
3.716793759500354732e-01,3.035436213284244955e-01
8.148315442798775843e-01,8.728953556670706604e-01
1.740793427417994255e-02,1.536756818814548863e-02
2.711902900711469222e-01,8.315632042444848215e-02
3.124552940246508870e-01,2.007341335965223128e-01
1.461169222865238426e-01,1.471355496014249420e-01
2.220775583515272739e-02,9.231225432326628511e-02
4.154709203776973947e-01,7.691935624052614884e-01
9.056410158553077627e-01,8.063053185899460296e-01
1.011002814001117356e-01,1.734261522595020866e-01
5.457950959732794233e-02,1.873028710691409526e-01
4.262508497202888158e-01,4.797524075840494673e-01
2.493829921142435777e-02,1.027393283085646369e-01
2.735104069968996576e-01,5.899080817932427223e-01
8.361199619783847847e-01,7.604694973379109157e-01
7.824452825733445582e-01,7.213840729607404745e-01
7.510187841689762722e-01,7.926554910451921732e-01
3.769268639728458048e-01,5.143903377174977587e-01
2.777364903342158797e-01,3.374675103530653253e-01
4.440955005683086543e-01,4.771683836139037904e-01
6.940935889501896883e-01,7.056741752784394528e-01
7.408911668959201613e-01,3.243144700337089459e-01
8.454936307877468638e-01,9.818883104815667728e-01
8.597620933785194985e-01,5.750018455036094434e-01
2.893569340170352167e-01,1.514912309670883861e-01
8.810699717360214178e-01,9.622157905521193655e-01
2.629362278173078549e-01,3.312203354183213544e-01
6.780227922029609111e-01,5.739811863918191648e-01
8.485167707345369070e-01,9.864141641622896639e-01
6.169424575574731368e-02,2.051114233990137814e-01
6.973172258652365896e-01,8.482403097084693089e-01
5.833151926463786552e-01,8.917133286044161000e-01
1.227545825100235799e-01,1.318163726891148912e-01
6.424127292322753258e-01,6.515961485535719522e-01
2.121524333678136420e-01,1.068939975673799947e-01
7.272197270147173764e-02,4.660699561671548530e-01
7.560132630031777268e-01,4.336927955246436261e-01
